Dataset,Attack Coverage,Provence Score,Feature Diversity,Documentation & Metadata,Evaluation Readiness,Availability,Overall (Mean)
LITNET-2020,2.0,5.0,3.33,3.33,1.67,5.0,3.39
CIC Modbus 2023,2.0,4.0,5.0,5.0,1.67,5.0,3.78
HDFS,0.0,5.0,1.67,5.0,1.67,5.0,3.06
BGL,0.0,5.0,1.67,3.33,1.67,5.0,2.78
OpenStack,0.0,5.0,1.67,5.0,1.67,5.0,3.06
KDD'99,5.0,4.0,3.33,5.0,3.33,5.0,4.28
NSL-KDD,5.0,4.0,5.0,5.0,3.33,5.0,4.56
Kyoto,5.0,5.0,1.67,5.0,1.67,5.0,3.89
ISCX2012,5.0,4.0,1.67,5.0,1.67,5.0,3.72
CICIDS 2017,5.0,4.0,5.0,5.0,1.67,5.0,4.28
DARPA99,5.0,4.0,3.33,5.0,3.33,5.0,4.28
DEFCON,5.0,5.0,1.67,5.0,1.67,5.0,3.89
DNS Data,5.0,5.0,1.67,5.0,3.33,5.0,4.17
